Test name            : Result               : Time (s)
-------------------- : -------------------- : --------
afiro                : -464.7531428571429   : 0.170
kb2                  : -1749.9001299061854  : 0.478
sc50a                : -64.57507705856453   : 0.157
sc50b                : -70                  : 0.171
adlittle             : 225494.96316237803   : 0.709
share2b              : -415.73224074141876  : 1.706
sc105                : -52.202061211707225  : 0.229
stocfor1             : -41131.976987374204  : 1.053
scagr7               : -2331389.8243309893  : 0.282
israel               : -896644.8218630459   : 63.403
recipelp             : -266.616             : 0.386
share1b              : -76589.31857918565   : 25.598
sc205                : -52.202061211707225  : 0.475
beaconfd             : 33592.48580720014    : 0.710
lotfi                : -25.264706280400016  : 0.395
vtp-base             : 129831.46246136139   : 0.256
brandy               : 1518.5098939351815   : 85.578
e226                 : -18.7519298153114    : 1043.913
bore3d               : 1373.0803942091507   : 7.940
grow7                : -47787811.814711496  : 151.425
capri                : 2690.0128547983786   : 8.609
scorpion             : 1878.1248227381059   : 0.529
bandm                : -158.6280173728615   : 283.043
sctap1               : 1412.25              : 0.754
scfxm1               : 18416.75902834894    : 21.717
agg2                 : -20239252.35597711   : 44.628
agg3                 : 10312115.93508922    : 59.212
stair                : -251.2669513953628   : 2220.527
scsd1                : 8.666669541522367    : 1.407
scagr25              : -14753433.06076854   : 1.327
degen2               : -1435.1780000000008  : 10.320
finnis               : 172791.0656103999    : 5.918
etamacro             : -755.7152957765932   : 11.324
fffff800             : 555679.5684999774    : 1058.741
standata             : 1257.6995            : 1.428
grow15               : Memory Limit         : 1340.870
pilot4               : TIMEOUT              : 3001.008
scfxm2               : 36660.26156499879    : 65.168
standmps             : 1406.0175000000002   : 5.731
standgub             : 1257.6995            : 1.580
scrs8                : 904.2970875262804    : 106.937
bnl1                 : Memory Limit         : 708.432
ship04s              : 1798715.83699473     : 2.362
fit1d                : Memory Limit         : 578.215
perold               : TIMEOUT              : 3001.008
grow22               : Memory Limit         : 1568.302
maros                : TIMEOUT              : 3001.008
modszk1              : Memory Limit         : 1709.464
scfxm3               : 54901.25454975142    : 192.062
25fv47               : TIMEOUT              : 3001.008
shell                : 1208825346           : 1.944
ship04l              : 1793324.9239750316   : 5.720
wood1p               : Memory Limit         : 637.218
sctap2               : 1724.807142857143    : 10.636
scsd8                : 904.9999925464408    : 29.652
ship08s              : 1920096.661406591    : 5.554
pilot-ja             : TIMEOUT              : 3001.008
degen3               : -987.2939999999996   : 553.693
ganges               : -109585.73612927829  : 3.241
pilotnov             : TIMEOUT              : 3001.009
pilot-we             : TIMEOUT              : 3001.009
ship12s              : 1489247.281782113    : 4.623
sctap3               : 1424                 : 17.865
stocfor2             : Memory Limit         : 991.940
czprob               : 2185196.6988565773   : 175.091
cycle                : TIMEOUT              : 3001.008
ship08l              : 1909053.7933535052   : 25.698
bnl2                 : Memory Limit         : 641.854
pilot                : TIMEOUT              : 3001.015
ship12l              : 1470199.040143467    : 27.543
d6cube               : Memory Limit         : 521.212
d2q06c               : TIMEOUT              : 3001.008
greenbeb             : TIMEOUT              : 3001.009
greenbea             : TIMEOUT              : 3001.008
pilot87              : TIMEOUT              : 3001.015
woodw                : Memory Limit         : 804.178
truss                : 458815.84718561696   : 267.847
maros-r7             : TIMEOUT              : 3001.039
80bau3b              : 987224.192475998     : 1439.894
fit2d                : Memory Limit         : 729.424
fit2p                : TIMEOUT              : 3001.009
qap15                : TIMEOUT              : 3001.016

