Test name            : Result               : Time (s)
-------------------- : -------------------- : --------
25fv47               : 5501.845888          : 0.126
80bau3b              : 987224.1924          : 0.454
adlittle             : 225494.9632          : 0.008
afiro                : -464.7531429         : 0.007
agg2                 : -20239252.36         : 0.014
agg3                 : 10312115.94          : 0.014
bandm                : -158.6280185         : 0.014
beaconfd             : 33592.48581          : 0.010
bnl1                 : 1977.629562          : 0.034
bnl2                 : 1811.23654           : 0.208
boeing1              : -335.2135675         : 0.016
boeing2              : -315.018728          : 0.010
bore3d               : 1373.080394          : 0.010
brandy               : 1518.509896          : 0.013
capri                : 2690.012914          : 0.012
cycle                : -5.226393025         : 0.053
czprob               : 2185196.699          : 0.049
d2q06c               : 122784.2108          : 0.952
d6cube               : 315.4916667          : 1.138
degen2               : -1435.178            : 0.023
degen3               : -987.294             : 0.179
e226                 : -25.86492907         : 0.013
etamacro             : -755.7152331         : 0.017
fffff800             : 555679.5648          : 0.017
finnis               : 172791.0656          : 0.016
fit1d                : -9146.378092         : 0.065
fit2d                : -68464.29329         : 1.814
fit2p                : 68464.29329          : 0.986
ganges               : -109585.7361         : 0.035
greenbea             : -72555248.13         : 0.330
greenbeb             : -4302260.261         : 0.238
grow15               : -106870941.3         : 0.024
grow22               : -160834336.5         : 0.036
grow7                : -47787811.81         : 0.012
israel               : -896644.8219         : 0.010
kb2                  : -1749.90013          : 0.008
lotfi                : -25.26470606         : 0.009
maros-r7             : 1497185.166          : 1.265
maros                : -58063.7437          : 0.039
modszk1              : 320.6197291          : 0.030
nesm                 : 14076036.49          : 0.139
perold               : -9380.755278         : 0.058
pilot-ja             : -6113.136466         : 0.106
pilot-we             : -2720107.533         : 0.086
pilot                : -557.4897062         : 1.169
pilot4               : -2581.139259         : 0.033
pilot87              : 301.7103473          : 2.826
pilotnov             : -4497.276188         : 0.070
qap15                : 1040.994041          : 214.536
recipelp             : -266.616             : 0.010
sc105                : -52.20206121         : 0.008
sc205                : -52.20206121         : 0.009
sc50a                : -64.57507706         : 0.007
sc50b                : -70                  : 0.007
scagr25              : -14753433.06         : 0.014
scagr7               : -2331389.824         : 0.008
scfxm1               : 18416.75903          : 0.013
scfxm2               : 36660.26156          : 0.022
scfxm3               : 54901.25455          : 0.033
scorpion             : 1878.124823          : 0.011
scrs8                : 904.2969538          : 0.024
scsd1                : 8.666666674          : 0.011
scsd8                : 904.9999999          : 0.035
sctap1               : 1412.25              : 0.012
sctap2               : 1724.807143          : 0.028
sctap3               : 1424                 : 0.041
seba                 : 15711.6              : 0.017
share1b              : -76589.31858         : 0.010
share2b              : -415.7322407         : 0.008
shell                : 1208825346           : 0.021
ship04l              : 1793324.538          : 0.021
ship04s              : 1798714.7            : 0.017
ship08l              : 1909055.211          : 0.038
ship08s              : 1920098.211          : 0.024
ship12l              : 1470187.919          : 0.053
ship12s              : 1489236.134          : 0.028
stair                : -251.2669512         : 0.022
standata             : 1257.6995            : 0.015
standgub             : 1257.6995            : 0.014
standmps             : 1406.0175            : 0.016
stocfor1             : -41131.97622         : 0.008
stocfor2             : -39024.40854         : 0.061
stocfor3             : -39976.78394         : 2.299
truss                : 458815.8472          : 0.659
vtp-base             : 129831.4625          : 0.010
wood1p               : 1.442902412          : 0.083
woodw                : 1.304476333          : 0.101
